fan;Savol;JT;Javob1;Javob2;Javob3;Javob4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"Hallo, ich  bin  Laura. Und ___ bist du?";0;wer;was;wie;wo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Ich komme aus Spanien. Und du? ____ kommst du?;0;Woher;Wer;Wo;Wie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili; Ich komme aus der ______;0;Schweiz;Spanien;Deutschland;?sterreich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili; Guten Tag, Frau Wachter! Wie geht es ____ ?                       ;0;Ihnen;dir;euch;Sie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wie hei?en die Zahlen?   89;0;neunundachtzig;achtundneunzig;achtzigundneun;neunzigacht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"Ich habe noch zwei ____ : Anja und Karla";0;Schwester;Bruder;Mutter;Enkel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Das _____ mein Freund;0;ist;bist;sind;sein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Das _____ meine Eltern;0;sind;ist;bist;bin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Ich ____ einen Job als Kellnerin.;0;habe;bin;mache;hat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Das ist meine _____;0;Familie;Vater;Sohn;Bruder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Das ist mein _____;0;Vater;Kinder;Eltern;Geschwister;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Kathrin ist           Schwester, oder?;0;deine;dein;mein;meine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wo wohnen Sie?;0;Ich wohne in Hamburg.;ich bin Student;Ich komme aus Frankreich.;Ich lebe aus Spanien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Was bist du von Beruf?;0;Ich bin Sekret?rin;Ich bin verheiratet;Ich bin ledig;Danke,gut. Und dir?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Ich bin verheiratet;0;Familienstand;Herkunft;Wohnort;Beruf/Ausbildung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Ich komme aus Spanien.;0;Herkunft;Beruf/Ausbildung;Familienstand;Wohnort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"? Hallo, ich bin Monika. Und wie ______ du?? David.";0;hei?t;bist;hei?en;bin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"?  Woher  kommst du?? ______ Italien.";0;Aus;Nach;?ber;In;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"?  Und was bist du  von Beruf?? Ich ______ Kellner.";0;bin;arbeite;habe;gehe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;" ?  Wie ist Ihre ______?? Kaiserstra?e  4. ";0;Adresse;Name;Beruf;Telefonnummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;" ?  Vera wohnt in K?ln  ? Genau. Und sie ______ bei TransFair.  ";0;arbeitet;arbeiten;arbeite;arbeitest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili; Ich bin Ingenieur. Was _____ Sie von Beruf? ;0;sind;haben;ist;hat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"? Hallo, Cristina. _____ ? ? Danke, gut. Und dir?";0;Wie geht es dir ;Wie bist du;Wie geht es Ihnen;Wie geht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;" ? _____ gehen wir ins Museum? ? Am Donnerstag!";0;Wann;Wo;Wohin;Wie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Corinna _____ ?sterreichisches Deutsch?;0;spricht;sprichst;sprecht;spreche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Frau Schulz  _______ keine Kinder;0;hat;habe;haben;habt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Meine Eltern _____ in Finnland;0;leben;lebt;lebe;liebt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;______ du verheiratet?;0;Bist;Sind;Ist;Seid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wo _____ Anton und Corinna?;0;sind;bist;bin;seid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Das ist Rolf Bauer.  _____ lebt in Z?rich.;0;Er;Sie;Ihr;Wir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Die Hauptstadt von ?sterreich ist   ______;0;Wien;Berlin;Bonn;Bern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Die Hauptstadt von Deutschland ist   ______;0;Berlin;Wien;Bonn;Bern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wer ____ das?;0;ist;bist;bin;sind;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Svenja und Torben sind verheiratet. ____ haben zwei Kinder.;0;Sie;Er;Wir;Ihr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Ich habe zwei Kinder. ______ hei?en Finn und Mike;0;Sie;Er;Wir;Ihr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Was studieren  Sie?;0;Ausbildung;Herkunft;Alter;Name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wo arbeitest du?      _____;0;Bei EASY COMPUTER;Als IT - Spezialist;bei Friseurin;Aus Frankfurt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wie alt bist du ?;0;Ich bin  22 Jahre alt;Er ist 20 Jahre alt;Sie sind 10 ;Sie ist 10 Jahre alt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;____  Du einen Bruder? ;0;Hast;Hat;Haben;Habt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;______ Sie mir bitte helfen?;0;K?nnen;Kannst;Kann;K?nnt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wir ____ Musik gern;0;h?ren;h?re;h?rt;h?rst;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Samuel _____ sehr gut Deutsch und ein bisschen Spanisch;0;spricht;sprecht;spreche;sprechen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Das Zimmer ____ gro?;0;ist;bist;bin;sind;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;" ?  Ich hei?e Martin Z?lche? ___________ ?  Ich buchstabiere: M-A-R-T-I-N";0;Wie bitte?;Danke;Entschuldigung;Tut mir leid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Ich ________ jetzt kein Bier.;0;mag;habe;esse;m?gt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Das ist doch ________ K?hlschrank, das ist ein Geschirrsp?ler.;0;kein;nicht ;nichts;nie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Ich bin ______ zu Hause;0;nicht ;kein;nichts;nie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"? Schau mal, der Tisch ist toll ? Ich wei? nicht. ______ finde ich nicht so sch?n.";0;Den;Der;Das;Die;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"? Leben deine Geschwister hier?? ______ Bruder lebt hier, aber ______ Schweste ist Berlin.";0;Mein ... Meine;Meine ... Mein;Unser ... unsere;Seine ... ihr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Das gef?llt _______;0;mir;mich;ich;mein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Welche Sprache ________ du?;0;sprichst;spricht;spreche;sprechen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wir ______ in Wien;0;wohnen;kommen;machen;lesen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Ich ______ aus dem Iran;0;komme;wohne;helfe;schreibe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"? _____________  ?? Ich arbeite als Krankenschwester";0;Was bist du von Beruf?;Wie alt bist du?;Wo wohnst du?;Wer ist das?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"? _____________  ?? Nein, ich bin Single";0;Bist du verheiratet?;Wohnst du hier?;Was studierst du?;Sind Sie 18?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"? Wohnt ______ in Frankfurt?? Ja, wir wohnen hier";0;ihr;sie;er;Sie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wie lange sind Sie in Deutschland ?;0;Seit 2 Monaten;Aus Frankreich;bei X-Media;Als Arzt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Hast du Geschwester?;0;Ich habe keine Geschwester;Ich habe nicht Geschwester;Ich habe ein Auto;Ich bin nicht Herr Schneider;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wie viele Bundesl?nder gibt es in Deutschland?;0;16;14;17;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Welche Hobbys haben Sie? ;0;Sport machen und Musik h?ren;Ich bin 18;Ich bin ledig;Er kommt aus Italien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Ich ______ seit 3 Monaten Deutsch;0;lerne;mache;lese;zeige;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;______ ihr Deutsch?;0;Sprecht;Spricht;Spreche;Sprechen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Ich bin 19 und mache eine ______;0;Ausbildung;Praktikum;Lehrer;in M?nchen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Jakob ist 23 und _______ in K?ln;0;wohnt;kommt;macht;f?hrt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Mein Freund arbeitet in einem Cafe als  ______;0;Kellner;Schumacher;Kellnerin;Friseur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;________ hast Du Geschwister?;;Wie viele;Was;Wie lange;Warum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Vierhundertsiebenundvierzig ;;447;774;474;747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;In _____ spricht man Rum?nisch;;Rum?nien;Tschechien;Polen;Griechenland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili; _____ spielen;;Tennis;Sport;Fahrrad;B?cher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;In Ungarn _________ Ungarisch;;spricht man;kocht man;isst man;ist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;  _______   sammeln;;Briefmarken;Taxi;Speise;Hauaufgabe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Ich arbeite als _______ bei Lufthansa;;Pilot;Taxifahrer;Schauspieler;Hausfrau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Meine Mutter ist  ______;;Architektin;Musiker;Sportler;Informatiker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"? _____________  ?? Er studiert Physik";;Was studiert er?;Wie alt ist er?;Wo arbeitet er?;Woher kommt er?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"? _____________  ?? Nein, ich trinke lieber Tee";;Trinken sie Kaffe oder Tee?;Was trinken Sie?;Das ist Tee;Sprechen Sie Deutsch?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wie viele Sprache spricht man in der Schweiz?;;4;3;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wie viele Buchstaben hat das deutsche Alphabet(ohne besondere Buchstaben)?;;26;32;24;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;_______ kommt aus Belgien;;Mein Nachbar ;Ich ;Du;Wir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Conrad und Gilles _______ in Paris;;studieren;studiert;studierst;studiere;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Marta ______ gut Gitarre;;spielt;singt;sammelt;spricht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Susanne _______ gern Kriminalromane;;liest;arbeitet;spricht;spielt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Mein Bruder m?chte _____ Deutschland fahren;;nach;in;aus;von;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Taschkent ist die Hauptstadt _____ Usbekistan;;von;nach;aus;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili; ______ ihr Studenten?;;Seid;Sind;Bist;Ist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wir studieren ______;;Medizin;Architektin;aus Polen;als Lehrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Was ______ Ihre Frau von Beruf?;;ist;bist;sind;bin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;______ arbeitet Hans Behrens?;;Wo;Was;Wer;Woher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;______ studieren Sie?;;Was;Woher;Wie;Wie viel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;______ das deine Kinder?;;Sind;Ist;Seid;Bist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili; Ich komme aus dem ______;;Irak;Luxemburg;D?nemark;Schweiz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili; Ich komme aus den ______;;USA;Schweiz;Iran;Ukraine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Meine  _______  sind  nicht zu Hause;;Kinder;Mutter;Schwester;Oma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;K?nnen _____ noch einmal erkl?ren?;;Sie;du;ihr;wir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Das sind ______   ________;;meine Freunde;meine Freundin;mein Freund;mein Freundin; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Ich habe ______ Kinder;;keine;kein;ein;eins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Was ____ Ihr Hobby?;;ist;bist;sind;bin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wie begr??t man in ?sterreich?;;Gr?? Gott;Moin;Servus!;Tschu?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wo liegt Bern?;;In der Schweiz;In ?sterreich;In Belgien;In Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Deutschland, Italien und ?sterreich sind ________;;L?nder;St?dte;Speisen;F?cher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
