Fan nomi (uz, ru);Savol;JT;Javob1;Javob2;Javob3;Javob4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: tu � du  mus?e.;0;viens;vient;venons;venez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: il � de la maison.;0;vient;viens;venons;venez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: elle  � de la montagne;0;vient;vien;venons;venez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: nous � de la maison.;0;venons;venez;vient;viens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: vous � de l'Universit?.;0;venez;vient;viens;venons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Ils � de l'Institut.;0;viennent;venons;venez;viens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Elles � du mus?e.;0;viennent;venez;vient;viens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Bonjour je �.. Antoin.;0;m'appelle;t'appelles;s'appelle;nous appellons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Bonjour,  � m'appelle Antoin.;0;je;tu;il;elle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Toi, tu � Nicolas ?;0;t'appelles;m'appelle;s'appelle;nous appellons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: comment elle � ? Cathrenne ?;0;s'appelle;m'appelle;t'appelle;nous appellons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Ah, � s'appelle Natalie.;0;elle;il;tu;je;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � t'appelles Karim.;0;tu;je;il;elle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est mon ami Nicolas. Il est � .;0;francais;francaise;francaises;chinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est mon ami Natalie. Elle est � .;0;francaise;francais;francaises;chinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Ce sont mes amis. Ils viennent de France. Ils sont � .;0;francais;francaise;francaises;chinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Ce sont mes amies. Elles viennent de France. Elles sont � .;0;francaises;francais;francaise;chinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est mon ami James. Il vient des Etats-Unis. Il est � .;0;americain;americaine;americainne;chinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Choisissez la bonne r?ponse: C""est mon amie Yoko. Elle  vient de Japon.";0;japonaise;japonais;americainne;allemande;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est Fatima Chaibi. Elle est � .;0;tunisienne;tunisien;japonais;allemand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est monsieur Sergui. Il vient de Russie. Il est � .;0;russe;allemande;japonais;chinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est madamme Galina. Elle vient de Russie. Elle est � .;0;russe;allemande;japonais;chinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse:  Je m'appelle Qui Yong. Je vient de Chine. Je suis � .;0;chinois;allemande;japonais;russe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est ma collegue Pierrette Legrand. Elle est � .;0;francaise;francais;japonais;allemand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est mon ami Franz Muller. Il vient d'Allemand. Il est � .;0;autrichien;autrichienne;japonais;russe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est ma collegue Sofia. Elle est � .;0;americainne;americain;japonais;allemand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse:  1997;0;mille neuf cent quatre vingt dix neuf;mille neuf cent quatre vingt neuf; neuf cent quatre vingt dix neuf;dix neuf cent quatre vingt dix neuf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: 17;0;dix-sept;diz- sept;septieme;sept-dix;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: 39;0;trente neuf;trent-neuf;tois neuf;treiz neuf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: 44;0;quarante quatre;quatorze;quatorze qautre;quarante;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: 194;0;cent quatre vingt quatorze;diz neuf quatre;cent neuf quatre;quatre vingt quatre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: dix neuf mille trois cent soixante seize.;0;19376;19316;1936016;190306016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: 98;0;quatre vingt dix-huit;neuf huit;quatre vingt huit;vingt huit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: trois cent soixante dix sept;0;377;367;316;317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: neuf mille neuf cent neuf;0;9909;9999;9919;9199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: dix sept mille sept cent soixante dix sept;0;17777;17767;17717;71767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: trente neuf;0;39;309;3,9;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: soixante quinze;0;75;6015;65;655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse:cinquante cinq mille cinq cent cinquante quinze;0;55515;5515;5055015;55555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: mon ami est francais. Il parle � .;0;francais;allemand;russe;espagnol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: c'est un garcon est anglais. Il parle � .;0;anglais;allemand;russe;espagnol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: cette femme est allemande. Elle parle � .;0;allemand;francais;russe;espagnol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Andrie est russe. Il parle � .;0;russe;allemand;francais;anglais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Qiu Yong  est chinois. Il parle en � .;0;chinois;francais;espagnole;russe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Sandra est espagnole. Elle parle  � .;0;espagnol;russe;chinois;anglais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � femme (n.f.) est tr?s belle.;0;cette;cet;ce;ces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � fille (n.f.) est tr?s intellegente.;0;cette;ce;cet;ces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � gar?on(n.m.) est tr?s fort.;0;ce;cette;cet;ces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � fleur(n.f.) est tr?s belle.;0;cette;ce;ces;cet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse:  � chambre (n.f.) est tr?s claire. ;0;cette;cet;ces;ce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � livre (n.m.) est tr?s intressant.;0;ce;cette;cette;ces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � homme(n.m.) est sportif.;0;cet;cette;ce;ces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � ville (n.f.) est tr?s belle.;0;cette;cet;ce;ces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � ?tudiants sonts tr?s intellegents.;0;ces;cette;ce;cet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � livres sont grands.;0;ces;ce;cet;cette;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � fen?tres sont grandes.;0;ces;cette;cet;ce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � femmes sont tr?s belle.;0;ces;ce;cet;cette;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: �  maison est grande.;0;notre;tes;leurs;ses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � enfants sont intellegents.;0;leurs;mon;ma;le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � perents sont bons.;0;nos;ma;mon;sa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � professeurs sont gentilles;o;nos;mon;le;son;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: (se promener) Chaque matin ma soeur � dans le jardin. ;0;se promene;me promene;te promenes;nous promenons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Choisissez la bonne r?ponse: (s'adresser) vous � au docteur ?;0;vous adressez ;s'adressse;t'adresses;m'adresse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: se laver. Chaque matin elle � ? 7 h 30.;0;se lave;me lave;nous lavons;te lave;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: ( se brosser) Chaque matin tu � tes dents ?;0;te brosses;se brosse;me brosse;nous brossons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: (se promener) Nous � dans un grand jardin.;0;nous promenons;vous promenez;se promennent;se promene;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: (se coucher)  Vous � ? quel heur ? ;0;vous couchez;nous couchons;se couchent;me couche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: (se souvenir) Tout ? coup il � de son enfance.;0;se souviens;me souviens;te souviens;nous souvons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: (s'adresser) Est ce que tu � au docteur ?;0;t'adresses;s'adressse;m'adresse;nous adressons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: (se coucher) Tout ? coup il � .;0;se couche;couche;me couche;te couches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: (se laver) Je � chaque matin ? 6 h 30.;0;me lave;se lave;se couche;me couche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: (se laver) Tu � ? quel heur ?;0;te laves ;se lave;nous lavons;me couche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: (se promener) Nicolas � chaque dimanche avec ses amis.;0;se promene;te promenes;me promene;nous promenons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: (se promener) ? quel heur vous � d'habitude. ;0;vous promenez ;nous promenons;se promennent;me couche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: (se brosser)  Mon frere � chaque matin.;0;se brosse;te brosses;me brosse;nous brossons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: ( se laver ) Ah, mmm ! Je � d?ja maman !;0;me lave;se lave;te lave;tu lave;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: (se laver) Tu � tr?s vite !;0;te laves;se lave;me lave;me laves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse:  Elle � tr?s belle ! ;0;danse;danses;dansons;dansez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse:  Mes amis � au foot chaque dimanche.;0;jouent;joue;joues;jouez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Chaque dimanche les  etudiants du group BIA 81 � le football. ;0;jouent;joue;joues;jouez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Aujourd'hui j' � des cadeaux pour mes parents.;0;achete;achetes;achetons;achetez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Chaque soir j' � la chan?on fran?aise.;0;?coute;?coutes;?coutons;?coutez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse:  Ce soir je � le plafe pour mes amis.;0;pr?pare;pr?pares;pr?parons;pr?parez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Je � le bonheur et l'amour toujours.;0;chante;chantes;chantons;chantez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Monsieur Akhmedov � en fran?ais.;0;parle;parles;parlons;parlez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse:  Nous � les chansons francaises avec notre proffesseur de francais monsieur Akhmedov.;0;chantons;chantez;chante;chantent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Nous � les vid?os avec le soustitre en francais pendant le cour francais.;0;regardons;regardez;regarde;regardes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Monsieur Akhmedov � les chansons fran?aises aves ses ?tudiants.;0;chante;chantes;chantons;chantez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Monsieur Khodiyev � l'annonce aux ?tudiants.;0;annonce;annonces;annoncez;annoncent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: (esp?rer) J' � que je serai un bon sp?cialist.;0;esp?re;esp?res;esp?rons;esp?rez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Xorijiy til  (fransuz tili)dan quyidagi guruhlar uchun yakiniy nazorat testi:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BBI-80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MMT-80/85/87/35/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BIA 80/81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;XBA-80/83/31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BNG'-80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;IBI-80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CC-80/81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ST-80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;IX-80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TUZUVCHI: AXMEDOV XUSAN AZIMJON o`g`li;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
