N;Savol;Javob1;Javob2;Javob3;Javob4;
191;В наибольшей степени формирование международного финансового рынка выгодно для:;промышленно развитых стран;развивающихся стран — экспортеров нефти;развивающихся стран — импортеров нефти;стран с переходной экономикой.
192;Глобальный финансовый рынок включает в себя:;международный финансовый рынок, финансовые структуры ООН и МВФ.;все национальные финансовые рынки и международный финансовый рынок;национальные финансовые рынки развитых стран;все национальные финансовые рынки
193;Затраты прямых участников международного финансового рынка: ;больше, чем у опосредованных;меньше, чем у опосредованных;непредсказуемым образом отличаются от затрат опосредованных.;такие же, как у опосредованных
194;Международный финансовый рынок функционирует:;круглосуточно.;с 8 до 18 часов по времени Лондона;с 6 до 20 часов по времени Лондона;непредсказуемым изменениям степени интеграции национального финансового рынка в мировой.
195;Обладатели базового актива обычно;Не имеют никакого отношения к выпуску дериватов;Имеют влияние на количество выпускаемых акций;Имеют влияние выпуску дериватов дисконтированной цене;Имеют влияние выпуску дериватов 
196;Основной целью покупки дериватов ;хеджирование ценового или валютного риска во времени, или получение спекулятивной прибыли от изменения цены базового актива;получение базового актива; хеджирование ценового или валютного риска во времени;получение спекулятивной прибыли
197;Отличительная особенность дериватов  состоит в том;что они не связаны с количеством базового актива, обращающегося на рынке;что они  связаны с количеством базового актива, обращающегося на рынке;что они не связаны с количеством базового актива, обращающегося на  вторичном рынке.;что они не связаны с количеством базового актива дочерних  акционерных  компаний
198;Обычно покупатель и продавец свопциона оговаривают:;Все ответы верны;"премию  свопциона; фиксированную ставку базового свопа";длительность, дата основного свопа;дополнительные комиссии и отчисления частота расчётов по платежам по основному свопу
199;Операции с производными финансовыми ин-струментами стало причиной?;возрастания финансовых рисков ;возрастания кредитных рисков;возрастания валютные рисков;возрастания рисков
200;Доля форвардного рынка в структуре международного валютного рынка на протяжении последних десятилетий:;оставалась неизменной;снижалась;росла;стохастические колебалась.
201;В наибольшей степени ориентированы на осуществление операций с производными финансовыми инструментами:;трейдеры;челноки;спекулянты;посредники
202;Дериватов имеет следующие характеристики ;Все ответы верны ;его стоимость меняется вслед за изменением цены базового актива;для его приобретения достаточно небольших первоначальных затрат по сравнению с другими инструментами,;        расчёты по нему осуществляются в будущем.
203;Дериваты  представляет собой соглашение между двумя сторонами, по которому они приобретают право;передать определённый актив или сумму денег в установленный срок или до его наступления по согласованной цене.;передать определённый актив или сумму денег в установленный срок или до его наступления по неопределенной цене  ;прибрести определенные активов по дисконтной цене. ;Выпуска новых акций
204;Обычно покупатель и продавец свопциона оговаривают:;соединение некоторого количества компаний, одна из которых является  поставщиком  сырья для другой.;объединение компаний, выпускающих взаимосвязанные товары ;соединение двух компаний, предлагающих одну и ту же продукцию.; соединение двух компаний, одна из которых является  поставщиком  сырья для другой.
205;Рынки еврокредитов характеризует:;стабильность процентных ставок;значительный объем обращающихся средств;государственное регулирование процентных ставок.;активное использование валют развивающихся стран
206;Синдицированное кредитование связано преимущественно: ;кредитованием на льготных условиях.;среднесрочными кредитами;с краткосрочными кредитами;долгосрочными кредитами
207;Систематический риск это;Минимальный риск;Максимальный риск;Нет рисков;Нет правильного ответа
208;Еврорынком является … ;рынок ссудных капиталов, оперирующий европейскими валютами;международный рынок ссудных капиталов, на котором операции осуществляются в евровалютах;система рыночных отношений, обеспечивающая аккумуляцию финансовых ресурсов;сфера, где совершается купля-продажа иностранной валюты на основе текущего спроса и предложения
209;Рынок наличной иностранной валюты обслуживает преимущественно:;финансовые учреждения;производственные компании;государственные органы;население
210;Свопцион (англ. swaption) —;производный финансовый инструмент, опцион на своп, контракт, дающий право его покупателю заключить сделку «своп» на определённую дату в будущем.;финансовый инструмент, опцион на своп, контракт, дающий право его продацу    менять окончания срока сделки.; финансовый инструмент, опцион на своп, контракт, дающий право его покупателю разрывать   сделку  до окончания срока сделки ;производный финансовый контракт, дающий право его участникам  заключить на долгосрочной основе.
211;Стандартизация условий контракта характерна: ;внебиржевого валютного рынка;для биржевого валютного рынка;текущего валютного рынка.;срочного валютного рынка
212;В счёт текущих операций входит: ;Торговый баланс,  баланс услуг текущие трансферты;Торговый баланс, баланс услуг;Только торговый баланс;Счёт операций с капиталом
213;В условиях финансовой глобализации устойчивость финансовых рынков развивающихся стран:;увеличивается;остается неизменной;уменьшается;изменяется непредсказуемым образом.
214;Валютный своп-это;комбинация двух противоположных конверсионных сделок на одинаковую сумму с разными датами валютирования;комбинация  более двух противоположных конверсионных сделок на одинаковую сумму с разными датами валютирования;комбинация двух противоположных конверсионных сделок на разную  сумму с одинаковыми  датами валютирования;комбинация двух противоположных конверсионных сделок на разную  сумму с разными датами валютирования
215;Датой валютирования применительно к споту называют;дата исполнения более близкой сделки;дата исполнения более удаленной по сроку обратной сделки;датой окончания свопа;датой начала  более удаленной по сроку обратной сделки
216;Валютная корзина представляет собой:;метод соизмерения средневзвешенного курса одной валюты по отно­шению к определенному набору других валют;отношение валютных резервов к годовому товарному импорту;соотношение валют по их золотому содержанию;соотношение между покупательной способностью валют
217;В современную валютную корзину СДР не входит:;швейцарский франк;доллар США;юань и иена;евро и фунт стерлингов
218;Соотношение между двумя валютами, устанавливаемое в законода­тельном порядке, — это:;валютный паритет;валютная котировка;валютный курс;кросс курс
219;Валютный демпинг – это …;массовый экспорт товаров по ценам ниже среднемировых в целях вытеснения конкурентов на внешних рынках;совокупность общественных отношений, складывающихся при функ­ционировании валюты в мировом хозяйстве;коэффициент пересчета одной валюты в другую;борьба за валютную гегемонию, рынки сбыта и источники необходи­мых товаров
220;Официальная демонетизация золота произошла в рамках валютной системы…;Ямайской;Генуэзской;Парижской;Бреттон-Вудской
221;Конвертируемость доллара в золото по официальной цене металла осуществлялась в рамках мировой валютной системы:;Бреттон-Вудской;Ямайской;Генуэзской;Парижской
222;Соотношение между вывозом и ввозом товаров отражается в разделе платежного баланса:;Торговый баланс;баланс пассивов;баланс движения капиталов;баланс «невидимых» операций
223;Соотношение международных требований и обязательств называется:;расчетным балансом;баланс движения капиталов;баланс «невидимых» операций;баланс пассивов
224;К разделу «Капитал и финансовые инструменты» платежного баланса относятся статьи…;портфельные и прямые инвестиции;резервная позиция в МВФ;монетарное золото;иностранная валюта
225;К разделу «Официальные международные резервы» платежного баланса относятся статьи:;иностранная валюта;портфельные инвестиции;монетарное золото;прямые инвестиции
226;В какой статье отражаются расхождения с практическими данными в платежном балансе:;«Ошибки и пропуски»;«Прочие услуги»;«СДР»;«Кредит МВФ»
227;Что такое Валютная позиция? ;Соотношение активов и пассивов банка и различных валют;Остаток денежных средств банка в различных валютах;Разница между активами и требованиями банка и его пассивными обязательствами в национальной валюте ;Нет верного ответа
228;Международная межбанковская система передачи информации и совершения платежей – это …;СВИФТ;Международный клиринговый союз;Международная торговая палата;ЮНСИТРАЛ
229;Какие формы международных расчетов наиболее привлекательны для экспортера:;авансовые платежи и аккредитивы;Инкассо и авансовые платежи;Аккредитив и инкассо;расчеты по открытому счету и инкассо
230;Банковский перевод — это:;письменный приказ банка своему банку-корреспонденту о перечислении определенной суммы с его текущего счета за границей на счет бенефициара;почтовые и телеграфные переводы за рубеж;долговые обязательства импортеров;Денежный документ, содержащий распоряжение одного кредитного учреждения другому об уплате кому-н. определённой суммы.
231;Разница между курсами покупателя (курс бид) и продавца (курс оф- фер) называется:;Спред;премия;дисконт;эмбарго
232;Исполнение срочной сделки осуществляется сторонами;не ранее третьего рабочего дня после заключения сделки;не позднее первого рабочего дня после заключения сделки;не ранее четвертого рабочего дня после заключения сделки;нет верного ответа
233;Какие соглашения могут заключаться с целью страхования валютных рисков?;все ответы верны;форвардные сделки;валютные опционы;валютные фьючерсы
234;Стихийным регулятором валютного курса в эпоху золотого стан­дарта был:;механизм золотых точек;двойной валютный рынок;двойной валютный курс;валютный своп
235;Производный финансовый инструмент — это:;контракт, в основе которого лежит базисный акти; ценная бумага, удостоверяющая долевое участие в собственности;договор, удостоверяющий долг одного лица другому;наиболее востребованная форма расчетов между продавцом и покупателем
236;Базисным активом производного финансового инструмента могут являться:; Валюта и товары;Денежные средства;индексы;брокерские контракты
237;Доля форвардного рынка в структуре международного валютного рынка на протяжении последних десятилетий:;оставалась неизменной;снижалась;росла;стохастические колебалась.
238;В наибольшей степени ориентированы на осуществление операций с производными финансовыми инструментами:;трейдеры;челноки;спекулянты;посредники
239;Дериватов имеет следующие характеристики ;Все ответы верны ;его стоимость меняется вслед за изменением цены базового актива;для его приобретения достаточно небольших первоначальных затрат по сравнению с другими инструментами,;        расчёты по нему осуществляются в будущем.
240;Дериваты  представляет собой соглашение между двумя сторонами, по которому они приобретают право;передать определённый актив или сумму денег в установленный срок или до его наступления по согласованной цене.;передать определённый актив или сумму денег в установленный срок или до его наступления по неопределенной цене  ;прибрести определенные активов по дисконтной цене. ;Выпуска новых акций
241;Обычно покупатель и продавец свопциона оговаривают:;соединение некоторого количества компаний, одна из которых является  поставщиком  сырья для другой.;объединение компаний, выпускающих взаимосвязанные товары ;соединение двух компаний, предлагающих одну и ту же продукцию.; соединение двух компаний, одна из которых является  поставщиком  сырья для другой.
242;Рынки еврокредитов характеризует:;стабильность процентных ставок;значительный объем обращающихся средств;государственное регулирование процентных ставок.;активное использование валют развивающихся стран
243;Синдицированное кредитование связано преимущественно: ;кредитованием на льготных условиях.;среднесрочными кредитами;с краткосрочными кредитами;долгосрочными кредитами
244;Систематический риск это;Минимальный риск;Максимальный риск;Нет рисков;Нет правильного ответа
245;Еврорынком является … ;рынок ссудных капиталов, оперирующий европейскими валютами;международный рынок ссудных капиталов, на котором операции осуществляются в евровалютах;система рыночных отношений, обеспечивающая аккумуляцию финансовых ресурсов;сфера, где совершается купля-продажа иностранной валюты на основе текущего спроса и предложения
246;Рынок наличной иностранной валюты обслуживает преимущественно:;финансовые учреждения;производственные компании;государственные органы;население
247;Свопцион (англ. swaption) —;производный финансовый инструмент, опцион на своп, контракт, дающий право его покупателю заключить сделку «своп» на определённую дату в будущем.;финансовый инструмент, опцион на своп, контракт, дающий право его продацу    менять окончания срока сделки.; финансовый инструмент, опцион на своп, контракт, дающий право его покупателю разрывать   сделку  до окончания срока сделки ;производный финансовый контракт, дающий право его участникам  заключить на долгосрочной основе.
248;Показателем степени экономической глобализации является:;доля глобальных телекоммуникаций в общем объеме мировых телекоммуникаций;все перечисленное.;доля англоязычных материалов в общем объеме печатной продукции;доля международной торговли в мировом ВВП
249;В условиях современной финансовой глобализации наибольшими темпами растут обороты:;рынка производных финансовых инструментов.;кредитного рынка;рынка акций;рынка облигаций
250;В условиях экономической глобализации доля прямых иностранных инвестиций в общем объеме мировых инвестиций:;растет;снижается;изменяется непредсказуемым образом.;Остается неизменным
251;Валютный своп-это;комбинация двух противоположных конверсионных сделок на одинаковую сумму с разными датами валютирования;комбинация  более двух противоположных конверсионных сделок на одинаковую сумму с разными датами валютирования;комбинация двух противоположных конверсионных сделок на разную  сумму с одинаковыми  датами валютирования;комбинация двух противоположных конверсионных сделок на разную  сумму с разными датами валютирования
252;Датой валютирования применительно к споту называют;дата исполнения более близкой сделки;дата исполнения более удаленной по сроку обратной сделки;датой окончания свопа;датой начала  более удаленной по сроку обратной сделки
253;Увеличение кредитного рейтинга страны ведет: ;снижению процентных ставок по кредитам, предоставляемым резидентам данной страны;сохранению процентных ставок по кредитам, предоставляемым резидентам данной страны;непредсказуемым изменениям процентных ставок по кредитам, предоставляемым резидентам данной страны.;к росту процентных ставок по кредитам, предоставляемым резидентам данной страны
254;1 долл. = 30 сум. Это:;косвенная котировка доллара и сума;прямая котировка сума и доллара;прямая котировка сума и косвенная доллара;прямая котировка доллара и косвенная сума.
255;Валютный курс выражает:;пропорцию обмена данной валюты на другие;полезность валюты;покупательную способность валюты;некоторую социальную условность.
256;Аббревиатурой ОТС обозначается:;текущий валютный рынок;срочный валютный рынок;биржевой валютный рынок;текущий валютный рынок
257;Что представляет собой совокупность операций с валютами, которые выступают на свободном мировом валютном рынке вне страны их происхождения?;Еврорынок валют;валютный рынок европы;Страховой рынок;Финансовый рынок
258;Что представляет собой международный рынок ссудных капиталов, на котором операции осуществляются в евровалюте?;рынок еврокредитов;еврорынок капиталов.;рынок евровалют;рынок евродепозитов
259;Датой валютирования применительно к споту называют;дата исполнения более близкой сделки;дата исполнения более удаленной по сроку обратной сделки;датой окончания свопа;датой начала  более удаленной по сроку обратной сделки
260;Узбекистан стал полноправным членом Исламского банка развития в…;2003;1992;1998;2007
261;Когда и какой стране был выдан первый кредит от Группы Всемирного банка?;09.05.1947, Франция;09.05.1945, Германия;09.05.1946, Англия;09.05.1948, Япония
262;Валютный арбитраж-это:;валютные операции, проводимые с целью конверсии и получения выгоды;межбанковские операции;расчетные операции в международной торговле;реализация товаров по ценам ниже мировых
263;Как определяется стоимость свободно конвертируемой валюты:;по официальному курсу;по спросом и предложением;по покупательной способности;по рыночному курсу
264;Установление курса иностранной валюты по отношению к валюте данной страны на основе законов, норм, правил, действующих в данной стране:;валютная котировка;валютный рынок;валютная операция;валютная интервенция
265; Валюта, по отношению к которой котируются другие валюты в данной стране или финансовом центре:;базисная валюта;национальная валюта;кризисная валюта;нет верного ответа
266;Главная задача рынка ценных бумаг – это:;привлечение капитала для экономического развития.;привлечение капитала для политического развития;удовлетворение общественных потребностей;привлечение капитала для социального развития 
267;Организованный рынок ценных бумаг осуществляется …;Биржей;государством;акциями;облигациями
268;Рынок, на котором исполнение заключенных сделок происходит не позднее второго рабочего дня со дня заключения сделки, называется:;срочный рынок ;организованный внебиржевой рынок;кассовый рынок;валютный рынок
269;Кампании каких стран проявляют наибольшую активность на товарных фьючерсных биржах?;Развитых;развивающихся;с переходной экономикой;все ответы верны
270;Как называются биржи, на которых торговые операции осуществляются и с товарами, и с индексами ценных бумаг?;Универсальные;специализированные;региональные;узкоспециализированные
271;Цена, характеризующая выражение стоимости чего-либо, поставляемого в будущем, называется …:;Форвардной;прогнозной;стандартной;перспективной
272;Как называется организованный форум для заключения срочных контрактов, которые для большей ликвидности имеют в высшей степени стандартизованные условия?;фьючерсные рынки;форвардные рынки;опционные рынки;торговые рынки
273;Какие рынки являются самыми ликвидными и эффективными?;фьючерсные биржи;форвардные биржи;Валютный рынок;торговый рынок
274;В каком году и где возникла первая в мире фондовая биржа?;в 1791 г. в Филадельфии;в 1971 г. в Лондоне;в 1992 г. в Нью-Йорке;в 1999 г. в Японии
275;Некоторые богатые страны не являются промышленно развитыми, а относятся к развивающимся странам в связи с:;особенностями институциональной структуры экономики;аграрной структурой экономики;монокультурным характером экономики;уровнем национального дохода на душу населения
276;Сегодня более 70% мирового экспорта обеспечивают страны…;промышленно развитые ;развивающиеся ;страны переходной экономики ;развивающиеся страны и страны переходной экономики в совокупности 
277;Какие виды деятельности ТНК доминируют на современном этапе международного сотрудничества;организация производства и сбыта непосредственно на зарубежных рынках;вывоз товаров и услуг;вывоз капитала;все ответы верны
278;Теория паритета покупательной способности (ППС) была обоснована;Г. Касселем ;Дж. Кейнсом;Р. Суайнсхедом;Д. Рикардо
279;Согласно определению Международного валютного фонда (МВФ) глобализация есть:;растущая экономическая взаимозависимость стран всего мира в результате возрастающего объема и разнообразия сделок с товарами, услугами и мировых потоков капитала, а также благодаря все более быстрой и широкой диффузии технологий;организация производства и рынка в определенном географическом пространстве;система хозяйственных связей между национальными экономиками отдельных стран, представленными различными хозяйствующими субъек­тами, а также международными экономическими организациями и финан­совыми центрами.;растущая взаимозависимость стран на основе увеличения объема и разнообразия международных валютных, кредитных, финансовых, рас­четных, фондовых страховых операций, а также информационных техно­логий
280;Основной целью протекционизма выступает:;защита отечественных производителей, особенно в период структур­ной перестройки ;снижение рисков, связанных с крупномасштабными техногенными катастрофами;смягчение торгово-политического режима в системе международных экономических отношений;сбор средств для обеспечения внешнего государственного долга
281;К новым финансовым центрам развивающихся стран относятся:;Мумбай, Дубай,Дакка;Мумбай, Дубай,Дакка;Сингапур, Лондон, Россия;Лондон, Нью-Йорк, Гонконг
282;Под международными финансовыми центрами понимаются…;центры сосредоточения банков и специализированных кредитно-финансовых институтов, осуществляющих международные валютные, кредитные и финансовые операции, сделки с ценными бумагами, золотом;система устойчивых экономических и организационных отношений, возникающих при осуществлении операций по покупке или продаже иностранной валюты; экономическая система соотношения спроса и предложения на страховые услуги;рынки, на котором продают и покупают сырьевые или первичные товары
283;Странами — членами НАФТА являются;США, Канада, Мексика;США, Великобритания, Австралия, Новая Зеландия;Великобритания, Германия, Франция;США, Канада, Япония
284;Путь от зоны свободной торговли до экономического и валютного союза прошла интеграционная группировка;ЕС;НАФТА;АСЕАН;ЕАЭС
285;Валютная корзина представляет собой:;метод соизмерения средневзвешенного курса одной валюты по отно­шению к определенному набору других валют;отношение валютных резервов к годовому товарному импорту;соотношение валют по их золотому содержанию;соотношение между покупательной способностью валют
286;В современную валютную корзину СДР не входит:;швейцарский франк;доллар США;юань и иена;евро и фунт стерлингов
287;Соотношение между двумя валютами, устанавливаемое в законода­тельном порядке, — это:;валютный паритет;валютная котировка;валютный курс;кросс курс
288;Валютный демпинг – это …;массовый экспорт товаров по ценам ниже среднемировых в целях вытеснения конкурентов на внешних рынках;совокупность общественных отношений, складывающихся при функ­ционировании валюты в мировом хозяйстве;коэффициент пересчета одной валюты в другую;борьба за валютную гегемонию, рынки сбыта и источники необходи­мых товаров
289;Официальная демонетизация золота произошла в рамках валютной системы…;Ямайской;Генуэзской;Парижской;Бреттон-Вудской
290;Конвертируемость доллара в золото по официальной цене металла осуществлялась в рамках мировой валютной системы:;Бреттон-Вудской;Ямайской;Генуэзской;Парижской
291;Соотношение между вывозом и ввозом товаров отражается в разделе платежного баланса:;Торговый баланс;баланс пассивов;баланс движения капиталов;баланс «невидимых» операций
292;Соотношение международных требований и обязательств называется:;расчетным балансом;баланс движения капиталов;баланс «невидимых» операций;баланс пассивов
293;К разделу «Капитал и финансовые инструменты» платежного баланса относятся статьи…;портфельные и прямые инвестиции;резервная позиция в МВФ;монетарное золото;иностранная валюта
294;К разделу «Официальные международные резервы» платежного баланса относятся статьи:;иностранная валюта;портфельные инвестиции;монетарное золото;прямые инвестиции
295;В какой статье отражаются расхождения с практическими данными в платежном балансе:;«Ошибки и пропуски»;«Прочие услуги»;«СДР»;«Кредит МВФ»
296;Что такое Валютная позиция? ;Соотношение активов и пассивов банка и различных валют;Остаток денежных средств банка в различных валютах;Разница между активами и требованиями банка и его пассивными обязательствами в национальной валюте ;Нет верного ответа
297;Международная межбанковская система передачи информации и совершения платежей – это …;СВИФТ;Международный клиринговый союз;Международная торговая палата;ЮНСИТРАЛ
298;Какие формы международных расчетов наиболее привлекательны для экспортера:;авансовые платежи и аккредитивы;Инкассо и авансовые платежи;Аккредитив и инкассо;расчеты по открытому счету и инкассо
299;…..- это документ, содержащий безусловный приказ владельца текущего счета банку о выплате указанной в нем суммы определенному лицу или предъявителю:;расчетный чек;документарный аккредитив;банковский перевод;авансовые платежи
300;Разница между курсами покупателя (курс бид) и продавца (курс оф- фер) называется:;Спред;премия;дисконт;эмбарго
