fan;Savol;JavobTuri;Javob1;Javob2;Javob3;Javob4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESTAR. Luc?a y Mario no _____ nunca de acuerdo en nada.;0;estan;estamos;est?is;estoy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa el dialogo. - ?Qu? hora es?;0;Es la una de la tarde;Somos estudiantes;Tengo hambre.;Tengo 17 a?os;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER. - ?T? _______ hermano de Laura? - S?, soy su hermano.;0;eres;somos;son ;soy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de NADAR. Mar?o __________ muy bien, es el mejor nadador.;0;nada;nadamos;nadas;nadan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?C?mo es una persona que no le gusta hablar en p?blico?;0;t?mida;seria;habladora;enfadada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Completa el dialogo con la forma adecuada de COMPRAR. - ?Vas a comprar tu el pan - No, Ana __________ .";0;compra;compramos;compro;compran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?En qu? parte de la casa nos duchamos?;0;En el ba?o;en la cocina;en la sala;en el comedor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?En qu? parte de la casa nosotros dormimos?;0;en el dormitorio;en el despacho;en el ba?o;en la cocina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la respuesta correcta. ?De d?nde eres?;0;Soy venezolano;estoy venezolano;como venezolano;hacemos venezolano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?En qu? parte de la casa nosotros comemos?;0;en el comedor;en el dormitorio;en el ba?o;en el pasillo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Cu?l de estas palabras puede ser un color y una fruta?;0;naranja;manzana;platano;amarillo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de QUERER. Juan _______ tomar un caf? esta tarde.;0;quiere;quiero;queremos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n. Sus abuelos son ____ Brasil. Son brasile?os.;0;de;con;sin;a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la palabra adecuada. En la ___________ puedes nadar.;0;piscina;escalera;ascensor;cama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER. Mis padres _______ profesores.;0;son;somos;so?s;es;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Completa con las preposiciones. Manuel lleg? _________ libros.;0;sin;desde;hasta;hacia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la palabra correcta. Nuestro hermano peque?o ________ 5 a?os.;0;tiene;llega;come;habla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de GUSTAR. Me ________ los deportes. Mi favorito es el f?tbol.;0;gustan;gustas;gust?is;gusto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente. Las clases de espa?ol son _______.;0;interesantes;interesante;interesanta;correcta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la palabra correspondiente. Hoy estoy _________ cansada.;0;muy;mucho;much?simo;poca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con el verbo correspondiente. En mi tiempo libre me gusta  __________ m?sica.;0;escuchar;leer;sentir;oler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de TRABAJAR. Nosotros ____________ en una empresa importante.;0;trabajamos;trabaj?is;trabajo;trabajas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la palabra correspondiente. En mi calle _______ un colegio.;0;hay;est?;habr?;es;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la preposici?n correcta. Todos los d?as desayuno ___ las 8 de la ma?ana.;0;a;de ;con;para;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la palabra correspondiente. Vivo en una casa _______.;0;c?moda;interesante;peque?o;viejo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESCRIBIR. La secretaria ___________  muchas cartas.;0;escribe;escribo;escrib?s;escriben;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Completa con la forma adecuada de SER. Mis abuelos ________  muy amables. ";0;son;somos;soy;es;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER.T? _________ de Colombia. ;0;eres;son;somos;soy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Completa con la forma adecuada de ESTAR. Ahora (yo) ___________  en la escuela. ";0;estoy;est?s;est?is;estan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra el color de las cosas. El cielo es ________ .;0;azul;amarillo;rosa;marr?n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de CONOCER. Yo no _________ a esta chica. ;0;conozco;conoce;conocemos;conocen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de EMPEZAR. La pel?cula __________ a las 8 en punto. ;0;empieza;empezamos;empez?is;empiezo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correcta. Luisa toma el caf? _________ leche. ;0;con ;de;por;para;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correcta. Jos? es______ Madrid. ;0;de;con;desde;por;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correcta. _______la plaza hay mucha gente. ;0;en;de;por;a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correcta. Este es el mes _______ Enero.;0;de;a ;con;para;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correcta. Vamos ______ la fiesta.;0;a;con;por;de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correcta.  Ahora est? ______ Espa?a.;0;en;con;de;por;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de IR. Mi prima y yo __________ al centro comercial.;0;vamos;van;voy;vas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de IR. ?A qu? hora __________ t? al cine?;0;vas;van;vamos;voy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de IR. Mis amigos __________ a clases de f?tbol.;0;van;vamos;voy;vais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. Padre de mi padre es mi _________.;0;abuelo;t?o;primo;cu?ado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. Hijo de mi t?a es mi __________.;0;primo;cu?ado;abuelo;padre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?En cu?ntos pa?ses del mundo el espa?ol es la lengua oficial?;0;mas de 20;mas de 40;mas de 10;mas de 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. Mi madre __________ muy guapa.;0;es;tiene;est?;va;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? es el Flamenco?;0;una danza;un juego;un cantante;una historia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? color simboliza a Espa?a?;0;rojo;azul;amarillo;marr?n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra las ciudades de Espa?a.;0;Madrid, Barcelona, M?laga;Paris, Santander, Alicante;Valencia, Monreal, Sevilla;Granada, Madrid, Andorra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. El baloncesto __________ nuestro deporte favorito. ;0;es;tiene;est?;da ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la preposici?n correcta. Me voy __________ casa a merendar.;0;a;de;con;para;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);La capital de Espa?a es _________;0;Madrid;Barcelona;Sevilla;Valencia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. Mi hermano y yo __________ en el jard?n.;0;estamos;tenemos;estudian;corren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la preposici?n correcta.  Este libro es __________ ti.;0;para;con ;hasta;sin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona las terminaci?nes del presente de indicativo a primera conjugaci?n (-ar);0; -o, -as, -a, -amos, -?is, -an.; -o, -es, -e, -emos, -?is, -en.; -o, -es. -e -imos, -?s, -en; -?, -?ste, -i?, -imos, -isteis, -ieron;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la respuesta correcta. ?De d?nde eres?;0;Soy venezolano;estoy venezolano;como venezolano;hacemos venezolano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. Hoy __________ tu cumplea?os. ;0;es;est?;tiene;pueden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la preposici?n correcta. Salgo ______la escuela a las 7 la tarde.;0;de;con;por;a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona las terminaci?nes del presente de indicativo a segunda conjugaci?n (-er);0; -o, -es, -e, -emos, -?is, -en.; -o, -as, -a, -amos, -?is, -an.; -o, -es. -e -imos, -?s, -en; -?, -?ste, -i?, -imos, -isteis, -ieron;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la palabra correspondiente. Vivo en una casa _______.;0;c?moda;interesante;peque?o;viejo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de PODER. Nosotros no __________ hacer nada.;0;podemos;puedas;puedo;pod?is;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la preposici?n correcta. La fuente __________ parque est? rota.;0;del;al;con;para;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? n?mero es: «21»?;0;veintiuno;quince;catorce;diecis?is;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de IR. Mis padres __________ al trabajo todos los d?as.;0;van;vamos;voy;vas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Con qu? d?a termina la semana?;0;domingo;jueves;lunes;mi?rcoles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona las terminaci?nes del presente de indicativo a tercera conjugaci?n (-ir);0; -o, -es. -e -imos, -?s, -en; -o, -es, -e, -emos, -?is, -en.; -?, -?ste, -i?, -imos, -isteis, -ieron; -o, -as, -a, -amos, -?is, -an.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? n?mero es: «199»?;0;ciento noventa y nueve;ciento cuarenta y dos;ciento cincuenta y tres;ciento treinta y ocho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?En qu? pa?s est? la ciudad M?laga?;0;Espa?a;Francia;Alemania;Breta?ia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. ?lvaro y Daniela __________ tus primos. ;0;son;mis;nuestro;somos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la palabra que lleva diptongo.;0;suelo;contra;doy;madre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige el sustantivo.;0;ordenador;ocho;los;nueve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de COMER. Manuel y yo no __________  el carne, somos vegeterianos.;0;comemos;comen;com?is;como;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de VENIR. Manolo _________ del trabajo muy tarde.;0;viene;venimos;ven?s;vengo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente al significado.   __________ ir a clase.;0;Debo;color;Comes;Ordenador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra el n?mero.;0;ciento;fiesta;celular;nieve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la preposici?n correcta. Mi madre est? __________ mi abuela.;0;con;de;a;por;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SALIR. Por las noches con mis amigos ____________ a dar una vuelta.;0;salimos;salgo;sales;sale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Alguien pregunta: «?Puedo abrir la ventana?». ?C?mo respondes formalmente que no?;0;Perdone, pero estoy resfriado.;S?, s?, ?brela.;Disculpe, pero est? resuelta.;no, no puedes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de OIR. Lola no abre ventana porque ella _______ mal.;0;oye;oigo;oimos;oyes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de IR. Yo __________ al colegio por la ma?ana;0;voy;vas;vamos;van;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? color simboliza a Espa?a?;0;rojo;azul;amarillo;marr?n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la forma plural de la palabra LIBRO.;0;libros;comes;cuaderno;plumas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Eliga la palabra correspondiente. La persona que crece las flores y plantas es __________ .;0;jardinero;m?dico;alcalde;piloto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de LEER. Raqu?l _________ mucho, porque le gusta leer.;0;lee ;leen;leo;leemos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la palabra que lleva triptongo.;0;limpi?is;columbiano;cuaderno;sonido;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER. - ?T? _______ hermano de Laura? - S?, soy su hermano.;0;eres;somos;son ;soy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de NADAR. Mar?o __________ muy bien, es el mejor nadador.;0;nada;nadamos;nadas;nadan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?C?mo es una persona que no le gusta hablar en p?blico?;0;t?mida;seria;habladora;enfadada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la palabra que lleva diptongo.;0;respuesta;color;pluma;rat?n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la forma plural de la palabra BEBIDA.;0;bebidas;bebimos;limonada;agua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de CAER. En invierno muchas personas  ________  en la escarcha.;0;caen;caigo;caemos;caes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la respuesta correcta. ?C?mo es tu nombre?;0;Mi nombre es Ana.;Encantado;Muchas gracias.;Muy bien, ?y t??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de QUERER. Yo _________ estudiar el japones.;0;quiero;quieres;quiere;queremos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la palabra que lleva triptongo.;0;continu?is;puedo;sacerdote;qu?mica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con el art?culo correspondiente. Durante ____ pandem?a de coronavirus, es necesario estar en casa.;0;la;el ;los;una;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. La hija de mi hermano es mi ___________ .;0;sobrina;sobrino;prima;prima;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la forma plural de la palabra ESTUDIANTE.;0;estudiantes;estudian;estudiamos;estudio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de COMER. Manuel y yo no __________  el carne, somos vegeterianos.;0;comemos;comen;com?is;como;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra el verbo.;0;dormir;almuerzo;color;m?sica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la palabra que lleva diptongo.;0;cielo;catorce;marar;ordenador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? n?mero es: «99»?;0;noventa y nueve;cuarenta y dos;cincuenta y tres;treinta y ocho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. Hola, ?qu? tal?;0;Muy bien, ?y t??;Muchas gracias;De nada.;Encantado.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
