Fan nomi (uz, ru);Savol;Javob turi bir javobli (0)/ ko`p javobli (1);Javob1;Javob2;Javob3;Javob4;To’g’ri javob;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente. Espa?a _______  un pa?s de las danzas.;0;es;somos;eres;son;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa la oraci?n. Cada d?a yo  _______  a las 7 de la ma?ana.;0;me despierto;te despiertas;se despierta;os despert?is;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la opci?n correcta. ?_______ est? la bibilioteca?;0;D?nde;cu?nto;cu?ndo;c?mo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la contesta. ?Cu?ntos a?os tiene Juan?;0;Tiene 16 a?os;tengo 21 a?os;tienes 8 a?os;tenemos 12 a?os;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: Pluma est?  ____ la mesa;0;sobre;con;de;por;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: ?_______ te llamas?;0;c?mo;qu?;qui?n;cu?l;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente:  _______ padres son profesores.;0;mis;nosotros;me;os ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la forma correspondiente del QUERER. Juan _______ tomar algo.;0;quiere;queremos;querra;queren;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente:  Me ________ los deportes.;0;gustan;gustamos;gust?is;gustas;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: Sus abuelos son ____ Brasil. Son brasile?os.;0;de;por;a;con;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente. Mar?a _____ guapa.;0;es;son;somos;sois;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente (TRABAJAR). Nosotros ____________ en una empresa importante.;0;trabajamos;trabajo;trabajas;trabajan;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente. Mi amiga ________ 15 a?os.;0;tiene;tenga;tenemos;tienen;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correspondiente. Este a?o voy ______vacaciones ;0;de;por;a;con;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Completa el dialogo:                           — Me encanta la comida asi?tica.— A m? ___________. Est? buen?sima.";0;tambi?n;tampoco;no;como;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la palabra correspondiente. En los libros hay  _____  informaci?n.;0;mucha;las;tan;el;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correspondiente. ?____ d?nde eres?;0;de;con;por;para;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la palabra correspondiente. ?Qu? fecha ____ hoy?;0;es;son;somos;sois;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga el art?culo correspondiente. Tengo _____ zapatos muy c?modos.;0;unos;unas;una ;un ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la palabra correspondiente. En la clase faltan ______alumnos.;0;unos;unas;una;un;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: -?A qu? te dedicas? - ______ profesor.;0;soy;eres;somos;son;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la palabra correspondiente. No me _____ el  chocolate.;0;gusta;pero;gustamos;una;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige palabras que tienen tilde de acento.;0;d?a, men?;habl?, ?rdenador;l?bro, pl?ma;c?sa, n?che;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la palabra correspondiente. La vida cotidiana no tiene que ______ aburrido.;0;ser;abrir;poner;comer;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige el verbo correspondiente: Todos tus perfumes _________ bien.;0;huelen;olamos;huelo;huelas;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correcta: El hermano de mi padre es mi ________;0;t?o;suegro;primo;cu?ado;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correcta:  La madre de mi madre es mi __________;0;abuela;t?a;prima;suegra;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correcta:  La hija de mi t?a es mi ________;0;prima;abuela;t?a;cu?ada;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Elige la palabra correcta: La hija de mi madre es mi _______;0;hermana;hija;prima;sobrina;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correcta: Los nietos de mis padres son mis ________;0;hijos ;nietos;primos;hermanos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Con qu? d?a termina la semana?;0;domingo;martes;mi?rcoles;viernes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Meses de invierno son _______;0;diciembre, enero, febrero;juio, julio;agosto, septiembre, octubre;marzo, abril, mayo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Meses de la primavera son__________;0;marzo, abril, mayo;diciembre, enero, febrero;agosto, septiembre, octubre;juio, julio, agosto;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?C?mo se llama la letra «V»?;0;uve;be;a;ce;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? n?mero es: «235»?;0;doscientos treinta y cinco;ciento sesenta y seis;cuarenta ocho;cincuenta y dos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la opci?n correcta. Mi amiga Ana  _______ los ojos verdes;0;tiene;tenemos;tienen;claro;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Selecciona la opci?n correcta.ANA.— ? .......... vas a la fiesta?LUIS.— Voy a las diez.";0;Cu?ndo;cu?nto;c?mo;qu?;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: Hoy Cristina______________ muy temprano y desayuna sola en la cocina.;0;se despierta;me despierto;nos despertamos;me despierta;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?C?mo se llama la letra «V»?;0;uve;be;ce;ele;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada del verbo PODER: ?D?nde_____________encontrar una farmacia en este pueblo?;0;puedo;quiero;tengo;soy;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Alguien pregunta: «?Puedo abrir la ventana?». ?C?mo respondes formalmente que no?;0;Perdone, pero estoy resfriado.;S?, s?, ?brela.;Disculpe, pero est? resuelta.;no, no puedes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Selecciona la opci?n correcta.?C?mo vas al instituto?";0;A pie;muy bien;no puedo decir;vamos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? n?mero es: «2347»?;0;dos mil trescientos cuarenta y siete;dos mil trescientos ochenta y dos;dos mil trescientos cincuenta y tres;dos mil trescientos noventa y cinco;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?C?mo se llama la letra «H»?;0;hache;jota;igriega;uve;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la preposici?n correcta. Este a?o voy de vacaciones _______ Mallorca.;0;a ;por;de;con;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente: Ella ___________ el franc?s;0;sabe;coge;juegan;las;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Elige la palabra correcta. ?D?nde ____________ la biblioteca municipal?";0;est?;estamos;somos;son;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correcta. ?A qu? hora te despiertas?  - _________ a las 7 de la ma?ana;0;Me despierto;te despiertas;nos despertamos;se despiertan;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la opci?n correcta: Son las nueve menos veinte. ;0;8:40;10:10;8:45;9:15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la opci?n correcta: Son las cinco y media;0;5:30;6:45;7:15;5:40;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Encuentra la opci?n correcta: ""6:15""";0;son las seis y cuarto;son las siete y media;son las nueve menos diez;es la una de la tarde;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente: Ella ___________ hablar en espa?ol.;0;puede;podemos;podr?;pueden;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente: Luis  siempre ____________ la verdad. ;0;dice;trae;trabaja ;come;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente: Estudiantes _________ un libro.;0;leen;escribes;corres;juegas;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la forma correspondiente del verbo. Aziz y yo ____________ muy bien al f?tbol.;0;jugamos;hablamos;podemos;damos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona las terminaci?nes del presente de indicativo a primera conjugaci?n (-ar);0; -o, -as, -a, -amos, -?is, -an.; -o, -es, -e, -emos, -?is, -en.; -o, -es. -e -imos, -?s, -en; -?, -?ste, -i?, -imos, -isteis, -ieron;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona las terminaci?nes del presente de indicativo a segunda conjugaci?n (-er);0; -o, -es, -e, -emos, -?is, -en.; -o, -as, -a, -amos, -?is, -an.; -o, -es. -e -imos, -?s, -en; -?, -?ste, -i?, -imos, -isteis, -ieron;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona las terminaci?nes del presente de indicativo a tercera conjugaci?n (-ir);0; -o, -es. -e -imos, -?s, -en; -o, -es, -e, -emos, -?is, -en.; -?, -?ste, -i?, -imos, -isteis, -ieron; -o, -as, -a, -amos, -?is, -an.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la forma adecuada del verbo PASEAR. Si hace buen tiempo _______ por la calle.;0;paseamos;soy;es;somos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la forma del verbo EMPEZAR en segunda persona plural.;0;empez?is;empezamos;empieza;empiezo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESTAR. Galicia ________ en el norte de Espa?a. ;0;est?;estamos;estan;estoy;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER. El gazpacho _________ una comida muy t?pica de Andaluc?a. ;0;es;soy;eres;son;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER. Mi amigo Luis ______ de Madrid.;0;es;soy;eres;somos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESTAR.   ?________ tu madre en casa? ;0;est?;eres;somos;son;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER. ________ espa?ol y vivo en M?laga;0;soy;somos;sois;son;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESTAR.  Hoy no voy al trabajo, __________ enfermo. ;0;estoy;est?s;estamos;estan;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de TRAER.(t?) ?_________ el dinero que te he prestado? ;0;traes;traigo;traemos;traen;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de IR. Los m?dicos _________ a casa de los pacientes cada d?a.;0;van;vamos;vais;voy;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESTAR.   ?T?________ en casa? ;0;est?s;estamos;est?is;estoy;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de JUGAR. El padre ________ con los ni?os en el patio. ;0;juega;jugamos;juegan;juego;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de VIVIR.  ?Los Dolores ___________ por aqu?? ;0;viven;vives;vivimos;viven;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de IR. Mi hija _______ a la escuela todas las ma?anas.;0;va;vamos;vas;van;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESTUDIAR. Luisa ____________ la historia del arte en la Universidad.;0;estudia;estudiamos;estudian;estudio;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SALIR. Por las noches con mis amigos ____________ a dar una vuelta.(nosotros);0;salimos;salgo;sales;sale;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de HACER. Cada tarde yo _____________ los deberes con mi amiga Carmen.;0;hago;haces;hacemos;hacen;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de VISITAR. Nosotros ______________ a mi abuela cada domingo. ;0;visitamos;visitan;visit?is;visito;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de VOLVER. Cada d?a, yo ___________ del trabajo sobre las ocho y media.;0;vuelvo;vuelvas;volvamos;vuelvan;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con el art?culo correcto. Tengo ______ televisi?n nueva en mi habitaci?n. ;0;una ;un;el;la ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Completa con las preposiciones. Va al colegio _______ autob?s.;0;en;con;hasta;por;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Completa con las preposiciones.  Este regalo es ________ t?.;0;para;por;a ;de;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Completa con las preposiciones. Juana me ha llamado ________ invitarme a su boda;0;para;por;o;al;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de VIAJAR. Ma?ana nosotros __________ a Par?s.;0;viajamos;viajan;viajo;viaja;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente: La persona que vende medicinas es _______;0;farmac?utico;panadero;marinero;cartero;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa la oraci?n. Paraguay___________ 5,5 millones habitantes.;0;tiene;hay;est?;habita ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la opci?n correcta. ?_______ huevos necesitas?;0;Cu?ntos;c?mo;solo;d?nde;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Completa con las preposiciones. Juan es ________ Madrid.;0;de;con ;a;por;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la opci?n correcta: Son las dos y cuarto.;0;2:15;2:45;2:35;2:30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESTUDIAR. Mi hermana ___________ en la facultad de interpetaci?n.;0;estudia;estudiamos;estudian;estudi?is;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Completa con las preposiciones. Ma?ana _______ la tarde no tengo clase.;0;por;desde;cada;con;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESCRIBIR. Nosotros _____________ un art?culo sobre la globalizaci?n.;0;escribimos;escribes;escrib?s;escribo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de HABLAR. ?T? ____________  el espa?ol y el ingl?s?;0;hablas;hablamos;habl?is ;hablo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Encuentra la opci?n correcta: ""mil novecientos cuarenta y dos""";0;1942;1835;1257;1972;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada del verbo ESTAR.  -Te veo mal. ?Quieres ayuda? - No, gracias. ________ bien. (yo);0;estoy;est?s;estamos;estan;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa el dialogo. - ?Cu?ntos a?os tienes? - ;0;Tengo 16.;Soy 17;Estoy 22;Veo 17;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la opci?n correcta: Son las dos menos cuarto.;0;1:45;3:40;2:15;5:20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Persona que tiene por oficio apagar incendios es __________ .;0;bombero;panadero;cocinero;abogado;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. ?Te gusta la comida italiana?;0;S?, me gusta mucho.;Me la gusta;Te gusto;S?, gusta a m?;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra los mariscos.;0;pescado, gambas;tomate, ma?z;pan, leche;postre, chocolate;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa el dialogo. - Soy de Andaluc?a, pero no me gusta el flamenco. - A m? ____.;0;tampoco;tambi?n;no;S?;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESTAR. Luc?a y Mario no _____ nunca de acuerdo en nada.;0;estan;estamos;est?is;estoy;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
