Fan nomi (uz, ru);Savol;Javob turi bir javobli (0)/ ko`p javobli (1);Javob1;Javob2;Javob3;Javob4;To’g’ri javob;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa el dialogo. - ?Qu? hora es?;0;Es la una de la tarde;Somos estudiantes;Tengo hambre.;Tengo 17 a?os;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER. - ?T? _______ hermano de Laura? - S?, soy su hermano.;0;eres;somos;son ;soy;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de NADAR. Mar?o __________ muy bien, es el mejor nadador.;0;nada;nadamos;nadas;nadan;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?C?mo es una persona que no le gusta hablar en p?blico?;0;t?mida;seria;habladora;enfadada;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Completa el dialogo con la forma adecuada de COMPRAR. - ?Vas a comprar tu el pan?- No, Ana __________ .";0;compra;compramos;compro;compran;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa la oraci?n. Maria _________ muy hermosa.;0;es;tiene;hay;estamos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige las palabras que son comestibles.;0;Dulces, carnes, lacteos,frutos,legumbres.;Dulces, carnes, lacteos,frutos, mueblos.;Ropas, lacteos,frutos,legumbres.;Ropa, pantalones, vaqueros;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la respuesta correcta. ?De d?nde es Nicola?;0;Es venezolano;estoy venezolano;como venezolano;hacemos venezolano;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?En qu? parte de la casa nosotros comemos?;0;en el comedor;en el dormitorio;en el ba?o;en el pasillo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Cu?l de estas palabras puede ser un color y una fruta?;0;naranja;manzana;platano;amarillo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de DORMIR. Juan _______  mucho hoy, porque no ha tomado un caf? esta tarde.;0;duerme;dormimos;durm?o;duermo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige las platos naci?nales de Espa?a.;0;Tortilla, paella, churros;Paella,churros, tortilla,pizza;Pasta,churros, pizza;Pasta, albondigas, pizza;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la palabra adecuada. En la ___________ puedes nadar.;0;piscina;escalera;ascensor;cama;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Cu?les colores hay en la bandera de Espa?a?;0;rojo, amarillo;azul, negro;gris, blanco, rojo;amarillo, verde;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Completa con las preposiciones. Manuel esconde sus dineros _________ libros.;0;dentro de;desde;hasta;hacia;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la palabra correcta. Nuestro perro ________ 10 a?os.;0;tiene;llega;come;habla;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de GUSTAR. Me ________ los deportes. Mi favorito es el f?tbol.;0;gustan;gustas;gust?is;gusto;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); ?Cu?les palabras son las marcadores de Presente de Indicativo;0;siempre, a veces, a menudo;nunca, hoy, hace dos a?os;en verano, este a?o;ayer, anoche, hoy;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la palabra correspondiente. Hoy  Juana est? _________ cansada.;0;muy;mucho;much?simo;poca;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con el verbo correspondiente. En mi tiempo libre me gusta  __________ m?sica.;0;escuchar;leer;sentir;oler;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de los verbos. Hoy no _______ buen tiempo. ______ viento.;0;hace / hace.;hace/ esta. ;hace/ estoy;hace/ huele;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la palabra correspondiente. En esta calle _______ un museo.;0;hay;est?;habr?;es;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la preposici?n correcta. Todos los d?as desayuno ___ las 8 de la ma?ana.;0;a;de ;con;para;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la palabra correspondiente. Hace un a?o que trabajo en __________ f?brica.;0;esta;estas;este;estos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESCRIBIR. Las profesores ___________  muchas cosas.;0;escriben;escribo;escrib?s;escribe;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Completa con la forma adecuada de SER. Mis abuelos _________ muy amables. ";0;son;somos;soy;es;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER. T? _________ de Colombia. ;0;eres;son;somos;soy;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Completa con la forma adecuada de ESTAR. Ahora (yo) ___________  en la escuela. ";0;estoy;est?s;est?is;estan;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente. ?De d?nde viene todo ________ ruido?;0;este;estos;estas;esas;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de CONOCER. Yo no _________ a esta chica. ;0;conozco;conoce;conocemos;conocen;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de EMPEZAR. La pel?cula __________ a las 8 en punto. ;0;empieza;empezamos;empez?is;empiezo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correcta. Luisa toma el caf? _________ leche. ;0;con ;de;por;para;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correcta. Jos? es ______ Bog?ta. ;0;de;con;desde;por;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la capital de Venezuela;0;Caracas;Lima;Bogota;Buenos Aires;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la capital de Argentina;0;Buenos Aires;Caracas;Bogota;Lima;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correcta. Vamos ______ la fiesta.;0;a;con;por;de;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la palabra correcta.  Los profesores de mi colegio _____________  de ocho a tres;0;trabajan;duermen;comen;corren;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de IR. Mi prima y yo __________ al centro comercial.;0;vamos;van;voy;vas;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de IR. ?A qu? hora __________ t? al cine?;0;vas;van;vamos;voy;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de VOLVER. Cada d?a, yo _____________  del trabajo sobre las ocho y media.;0;vuelvo;volvemos;vuelven;vuelves;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. Ellas ___________ rusas, _______________ de Mosc?.;0;son/son;son/hacrn;son/comen;son/sois;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. Hijo de mi t?a es mi __________.;0;primo;cu?ado;abuelo;padre;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?En cu?ntos pa?ses del mundo el espa?ol es la lengua oficial?;0;mas de 20;mas de 40;mas de 10;mas de 30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. Mi madre __________ muy guapa.;0;es;tiene;est?;va;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? es el Flamenco?;0;una danza;un juego;un cantante;una historia;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? color simboliza a Espa?a?;0;rojo;azul;amarillo;marr?n;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra las ciudades de Espa?a.;0;Madrid, Barcelona, M?laga;Paris, Santander, Alicante;Valencia, Monreal, Sevilla;Granada, Madrid, Andorra;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. El baloncesto __________ nuestro deporte favorito. ;0;es;tiene;est?;da ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la preposici?n correcta. Me__________ a casa a merendar.;0;voy;vamos;vais;van;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);La capital de Espa?a es _________;0;Madrid;Barcelona;Sevilla;Valencia;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la forma correcta del verbo ESTAR. Mi hermano y yo __________ en el jard?n.;0;estamos;tenemos;estudian;corren;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la preposici?n correcta.  Este libro es __________ ti.;0;para;con ;hasta;sin;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona las terminaci?nes del presente de indicativo a primera conjugaci?n (-ar);0; -o, -as, -a, -amos, -?is, -an.; -o, -es, -e, -emos, -?is, -en.; -o, -es. -e -imos, -?s, -en; -?, -?ste, -i?, -imos, -isteis, -ieron;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la respuesta correcta. ?De d?nde eres?;0;Soy venezolano;estoy venezolano;como venezolano;hacemos venezolano;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. Hoy __________ tu cumplea?os. ;0;es;est?;tiene;pueden;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la preposici?n correcta. Salgo ______la escuela a las 7 la tarde.;0;de;con;por;a;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. Juan y Mar?a _____________  muy temprano.;0;se despiertan;se lavan;nos dormimos;nos ponemos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la palabra correspondiente. Por las noches con mis amigos _____________  a dar una vuelta.;0;salimos;salen;sales;sale;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de PODER. Nosotros no __________ hacer nada.;0;podemos;puedas;puedo;pod?is;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la preposici?n correcta. La fuente __________ parque est? rota.;0;del;al;con;para;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? n?mero es: «3421»?;0;tres mil doscientos veintiun(o);tres mil doscientos quince;tres mil doscientos catorce;tres mil doscientos diecis?is;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de IR. Mis padres __________ al trabajo todos los d?as.;0;van;vamos;voy;vas;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Con qu? mes termina el a?o?;0;diciembre;abril;mayo;enero;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona las terminaci?nes del presente de indicativo a tercera conjugaci?n (-ir);0; -o, -es. -e -imos, -?s, -en; -o, -es, -e, -emos, -?is, -en.; -?, -?ste, -i?, -imos, -isteis, -ieron; -o, -as, -a, -amos, -?is, -an.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? n?mero es: «9199»?;0;nueve mil ciento noventa y nueve;nueve mil ciento cuarenta y dos;nueve mil  ciento cincuenta y tres;nueve mil ciento treinta y ocho;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?En qu? pa?s est? la ciudad M?laga?;0;Espa?a;Francia;Alemania;Breta?ia;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. Nosotros _____________  a mi abuela cada domingo.;0;visitamos;mis;nuestro;son;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la palabra que lleva diptongo.;0;suelo;contra;doy;madre;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige el sustantivo.;0;ordenador;ocho;los;nueve;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de COMER. Manuel y yo no __________  el carne, somos vegeterianos.;0;comemos;comen;com?is;como;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de VENIR. Manolo _________ del trabajo muy tarde.;0;viene;venimos;ven?s;vengo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente al significado.  _________ clases empiezan a las 12.;0;Mis;est?;Comes;Ordenador;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra el n?mero.;0;ciento;fiesta;celular;nieve;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la preposici?n correcta. Mi madre est? __________ mi abuela.;0;con;de;a;por;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SALIR. Por las noches con mis amigos ____________ los deberes en mi casa.;0;hacemos;salgo;sales;hace;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Alguien pregunta: «?Puedo abrir la ventana?». ?C?mo respondes formalmente que no?;0;Perdone, pero estoy resfriado.;S?, s?, ?brela.;Disculpe, pero est? resuelta.;no, no puedes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de OIR. Lola no abre ventana porque ella _______ mal.;0;oye;oigo;oimos;oyes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de IR. Yo __________ al colegio por la ma?ana;0;voy;vas;vamos;van;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? color simboliza a Espa?a?;0;rojo;azul;amarillo;marr?n;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la forma plural de la palabra ORDENADOR.;0;ordenadores;comes;cuaderno;plumas;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Eliga la palabra correspondiente. La persona que crece las flores y plantas es __________ .;0;jardinero;m?dico;alcalde;piloto;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de LEER. Raqu?l _________ mucho, porque le gusta leer.;0;lee ;leen;leo;leemos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la palabra que lleva triptongo.;0;limpi?is;columbiano;cuaderno;sonido;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER. - ?T? _______ hermano de Laura? - S?, soy su hermano.;0;eres;somos;son ;soy;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de NADAR. Mar?o __________ muy bien, es el mejor nadador.;0;nada;nadamos;nadas;nadan;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?C?mo es una persona que no le gusta hablar en p?blico?;0;t?mida;seria;habladora;enfadada;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la palabra correspondiente. Yo estudio en primer curso y estos son __________ amigos.;0;mis;color;pluma;rat?n;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la forma plural de la palabra SOMBRERO.;0;sombreros;bebimos;limonada;agua;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de CAER. En invierno muchas personas  ________  en la escarcha.;0;caen;caigo;caemos;caes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la respuesta correcta. ?C?mo es tu nombre?;0;Mi nombre es Ana.;Encantado;Muchas gracias.;Muy bien, ?y t??;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de QUERER. Yo _________ estudiar el japones.;0;quiero;quieres;quiere;queremos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la palabra que lleva triptongo.;0;continu?is;puedo;sacerdote;qu?mica;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con el art?culo correspondiente. ____  la pandem?a de coronavirus, es necesario quedarse en casa.;0;Durante ;debajo de ;entre;junto;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. La hija de mi hermano es mi ___________ .;0;sobrina;sobrino;prima;prima;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la forma plural de la palabra ESTUDIANTE.;0;estudiantes;estudian;estudiamos;estudio;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de COMER. Manuel y yo  __________  el carne, no somos vegeterianos.;0;comemos;comen;com?is;como;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la opci?n correcta. Hay que hablar _________ pero escuchar _________.;0;poco/mucho;mucho/tal;tanto/tan;Tanto/muy;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona la palabra que es pronombre.;0;nosotros;catorce;marar;ordenador;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Escribe el n?mero «9999»?;0;nueve mil novecientos noventa y nueve;nueve mil novecientos cuarenta y dos;nueve mil novecientos cincuenta y tres;nueve mil novecientos treinta y ocho;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Conjuga el verbo “levantarse” en Presente de indicativo. ;0;Me levant?, te levantas, se levanta, nos levantamos, os levant?is, se levantan.;Me levant?, se levantas, televanta, nos levantamos, se levant?is, os levantan.;levant?, levantas, levanta, levantamos, levant?is, levantan.;Me levant?,  levantas, se levanta,nos levantamos, vos levant?is, se levantan.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
